subj,session,time,person,chat,form,gloss,obj,gs_rel,context,spoken_obj,gestured_obj,referent,comments
43,5,,parent,you want to water the flowers with the watering can ?,,,,,,flower; watering_can,,flower; watering_can ,
43,5,,child,can .,,,,,,watering_can,,watering_can,
43,5,,parent,&xxx can .,,,,,,watering_can,,watering_can,
43,5,,parent,fill it up .,,,,,,,,,
43,5,0:12:24,parent,can you lift it ?,,,,,,,,,
43,5,,parent,that's good .,,,,,,,,,
43,5,0:12:26,parent,let's go # water the tulips .,point.point,X plant. Tulip,X plant. Tulip,Add,,tulip,tulip,tulip,
43,5,,parent,on top .,,,,,,,,,
43,5,,parent,okay .,,,,,,,,,
43,5,0:12:38,parent,see ?,point,tulips,tulips,Add,,,tulip,tulip,
43,5,,parent,see all the little flowers ?,point~,tulips,tulips,Reinforce,,flower,tulip,flower; tulip,
43,5,,parent,go ahead .,,,,,,,,,
43,5,,child,&xxx water can .,,,,,,watering_can,,watering_can,
43,5,,parent,go ahead .,,,,,,,,,
43,5,,parent,they're saying I'm thirsty .,,,,,,,,,
43,5,,parent,can you water me ?,,,,,,,,,
43,5,,parent,that's good .,,,,,,,,,
43,5,,parent,okay .,,,,,,,,,
43,5,,parent,that's good .,,,,,,,,,
43,5,0:12:54,parent,how+about the hollyhock ?,point,hollyhock,hollyhock,Reinforce,,hollyhock,hollyhock,hollyhock,
43,5,,child,hollyhock .,,,,,,hollyhock,,hollyhock,
43,5,0:12:59,parent,there it is .,point,hollyhock,hollyhock,Disambiguate,,,hollyhock,hollyhock,
43,5,,child,hollyhock .,,,,,,hollyhock,,hollyhock,
43,5,,parent,that's the hollyhock .,,,,,,hollyhock,,hollyhock,
43,5,,parent,water that .,,,,,,,,,
43,5,,child,can I see in dirt ?,,,,,,dirt,,dirt,
43,5,,parent,can I what ?,,,,,,,,,
43,5,,child,can I see in dirt ?,,,,,,dirt,,dirt,
43,5,,child,in the dirt .,,,,,,dirt,,dirt,
43,5,,child,"can I see in the dirt, Mom ?",,,,,,dirt; mom,,dirt; mom,
43,5,,parent,"yeah, you can look at the dirt .",,,,,,dirt,,dirt,
43,5,,child,you &xxx .,,,,,,,,,
43,5,,child,this goes around and around .,,,,,,,,,
43,5,,child,the wheels are stuck &xxx .,,,,,,wheel,,wheel,
43,5,,child,send the boat home .,,,,,,boat,,boat,
43,5,,child,they're working &xxx the dirt .,,,,,,dirt,,dirt,
43,5,,child,he scraping the dirt up .,,,,,,dirt,,dirt,
43,5,,child,scrape +...,,,,,,,,,
43,5,,child,scrape .,,,,,,,,,
43,5,,child,I'm carry .,,,,,,,,,
43,5,,child,I carry &xxx .,,,,,,,,,
43,5,0:15:10,child,because the dump+truck will dump you .,,,,,,dumptruck,,dumptruck,
43,5,,child,because the dump+truck will dump you dirt out .,,,,,,dumptruck; dirt,,dumptruck; dirt,
43,5,,child,,,,,,not clear what C is saying if he is saying anything,,,,
43,5,,parent,,,,,,not clear what C is saying if he is saying anything,,,,
43,5,,child,what is in it ?,,,,,,,,,
43,5,,child,what this in it ?,,,,,,,,,
43,5,,child,dump+truck .,,,,,,dumptruck,,dumptruck,
43,5,,child,&xxx dump+truck .,,,,,,dumptruck,,dumptruck,
43,5,,child,how_come the dump+truck will pick up it ?,,,,,,dumptruck,,dumptruck,
43,5,,child,how_about Lilia ?,,,,,,,,,
43,5,,child,how_about Lilia ?,,,,,,,,,
43,5,,child,where the hose coming from ?,,,,,,hose,,hose,
43,5,,child,you .,,,,,,,,,
43,5,0:16:20,parent,what are you saying ?,$,,,,,,,,
43,5,,child,"hose from you, Mom .",point,M,M,Disambiguate,,mom,mom,mom,
43,5,,parent,what sweetie ?,,,,,,,,,
43,5,0:16:28,child,the hose come from you .,point,M,M,Disambiguate,,hose,mom,hose; mom,
43,5,,parent,"yes, the hose .",$,,,,,hose,,hose ,
43,5,,parent,"&oh, did you see me moving the hose ?",$,,,,,hose,,hose,
43,5,,parent,I was winding it up .,$,,,,,,,,
43,5,,parent,"here, we'll pull it back this way .",$,,,,,,,,
43,5,,child,&xxx I sat to the top .,,,,,,,,,
43,5,,parent,"what are you doing, Lincoln ?",$,,,,,child,,child,
43,5,,parent,what are you pretending to be ?,$,,,,,,,,
43,5,,child,I trying to tug it .,,,,,,,,,
43,5,,parent,tugging it ?,$,,,,,,,,
43,5,,parent,"&ooh, did you see these flowers, Lincoln ?",,,,,,flower; child,,flower; child,
43,5,0:17:49,parent,look .,,,,,,,,,
43,5,,child,can +...,,,,,,,,,
43,5,0:17:51,parent,"look, can you see the bud ?",hold,flower bud,flower bud,Reinforce,,flower_bud,flower_bud,flower_bud,
43,5,,child,can I hang on to the rope ?,,,,,,rope,,rope,
43,5,,parent,yeah .,,,,,,,,,
43,5,,child,can I hang on to the rope ?,,,,,,rope,,rope,
43,5,,parent,"yeah, you going to tug ?",,,,,,,,,
43,5,,parent,tug .,,,,,,,,,
43,5,,parent,&oh .,,,,,,,,,
43,5,,parent,pull .,,,,,,,,,
43,5,,parent,pull pull pull .,,,,,,,,,
43,5,,child,pull .,,,,,,,,,
43,5,,parent,uhoh .,,,,,,,,,
43,5,,parent,did it get you a little wet ?,,,,,,,,,
43,5,,parent,a little bit of water in the hose .,,,,,,water; hose,,water; hose,
43,5,,child,how_about got water ?,,,,,,water ,,water ,
43,5,0:18:35,parent,the # the water's turned off .,shake,no,,Reinforce,,water,,water,
43,5,,parent,there shouldn't be any more water .,,,,,,water,,water,
43,5,,child,no .,,,,,,,,,
43,5,,parent,no .,,,,,,,,,
